model_name,model_params,fea_encoding,0_fold_train_performance,0_fold_test_performance,1_fold_train_performance,1_fold_test_performance,2_fold_train_performance,2_fold_test_performance,average_train_performance,average_test_performance
RandomForest,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",one-hot,"{'rmse': '21.07', 'mae': '10.71', 'r2': '0.93'}","{'rmse': '26.91', 'mae': '12.62', 'r2': '0.89'}","{'rmse': '20.03', 'mae': '9.62', 'r2': '0.94'}","{'rmse': '26.87', 'mae': '14.22', 'r2': '0.89'}","{'rmse': '17.09', 'mae': '8.88', 'r2': '0.96'}","{'rmse': '33.75', 'mae': '15.07', 'r2': '0.81'}","{'rmse': '19.40', 'mae': '9.74', 'r2': '0.94'}","{'rmse': '29.18', 'mae': '13.97', 'r2': '0.86'}"
RandomForest,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",ordinal,"{'rmse': '21.11', 'mae': '10.66', 'r2': '0.93'}","{'rmse': '24.85', 'mae': '11.76', 'r2': '0.91'}","{'rmse': '20.21', 'mae': '9.85', 'r2': '0.93'}","{'rmse': '28.11', 'mae': '14.56', 'r2': '0.88'}","{'rmse': '17.41', 'mae': '9.12', 'r2': '0.95'}","{'rmse': '33.48', 'mae': '15.63', 'r2': '0.81'}","{'rmse': '19.58', 'mae': '9.88', 'r2': '0.94'}","{'rmse': '28.81', 'mae': '13.98', 'r2': '0.86'}"
LGBM,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",one-hot,"{'rmse': '28.03', 'mae': '16.44', 'r2': '0.87'}","{'rmse': '28.72', 'mae': '17.11', 'r2': '0.87'}","{'rmse': '26.47', 'mae': '14.91', 'r2': '0.89'}","{'rmse': '33.51', 'mae': '19.53', 'r2': '0.83'}","{'rmse': '25.48', 'mae': '15.14', 'r2': '0.90'}","{'rmse': '33.71', 'mae': '18.47', 'r2': '0.81'}","{'rmse': '26.66', 'mae': '15.50', 'r2': '0.89'}","{'rmse': '31.98', 'mae': '18.37', 'r2': '0.84'}"
LGBM,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",ordinal,"{'rmse': '26.34', 'mae': '15.47', 'r2': '0.89'}","{'rmse': '27.70', 'mae': '16.22', 'r2': '0.88'}","{'rmse': '24.77', 'mae': '14.19', 'r2': '0.90'}","{'rmse': '32.07', 'mae': '18.57', 'r2': '0.84'}","{'rmse': '25.49', 'mae': '15.15', 'r2': '0.90'}","{'rmse': '33.02', 'mae': '18.43', 'r2': '0.81'}","{'rmse': '25.53', 'mae': '14.94', 'r2': '0.90'}","{'rmse': '30.93', 'mae': '17.74', 'r2': '0.85'}"
XGBoost,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",one-hot,"{'rmse': '20.14', 'mae': '9.73', 'r2': '0.94'}","{'rmse': '24.59', 'mae': '11.18', 'r2': '0.91'}","{'rmse': '19.28', 'mae': '8.79', 'r2': '0.94'}","{'rmse': '27.09', 'mae': '12.81', 'r2': '0.89'}","{'rmse': '15.93', 'mae': '7.90', 'r2': '0.96'}","{'rmse': '32.65', 'mae': '13.98', 'r2': '0.82'}","{'rmse': '18.45', 'mae': '8.81', 'r2': '0.95'}","{'rmse': '28.11', 'mae': '12.66', 'r2': '0.87'}"
XGBoost,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",ordinal,"{'rmse': '20.08', 'mae': '9.63', 'r2': '0.94'}","{'rmse': '24.52', 'mae': '11.03', 'r2': '0.91'}","{'rmse': '19.30', 'mae': '8.84', 'r2': '0.94'}","{'rmse': '29.57', 'mae': '13.80', 'r2': '0.87'}","{'rmse': '15.93', 'mae': '7.81', 'r2': '0.96'}","{'rmse': '32.78', 'mae': '14.06', 'r2': '0.82'}","{'rmse': '18.44', 'mae': '8.76', 'r2': '0.95'}","{'rmse': '28.96', 'mae': '12.96', 'r2': '0.86'}"
