model_name,model_params,fea_encoding,0_fold_train_performance,0_fold_test_performance,1_fold_train_performance,1_fold_test_performance,2_fold_train_performance,2_fold_test_performance,average_train_performance,average_test_performance
LinearRegression,{},one-hot,"{'rmse': '37.66', 'mae': '24.92', 'r2': '0.77'}","{'rmse': '32.29', 'mae': '21.64', 'r2': '0.84'}","{'rmse': '33.64', 'mae': '21.51', 'r2': '0.82'}","{'rmse': '40.61', 'mae': '26.98', 'r2': '0.75'}","{'rmse': '34.38', 'mae': '23.24', 'r2': '0.82'}","{'rmse': '40.93', 'mae': '24.65', 'r2': '0.71'}","{'rmse': '35.23', 'mae': '23.22', 'r2': '0.80'}","{'rmse': '37.94', 'mae': '24.42', 'r2': '0.77'}"
LinearRegression,{},label,"{'rmse': '67.19', 'mae': '49.74', 'r2': '0.28'}","{'rmse': '78.81', 'mae': '68.44', 'r2': '0.05'}","{'rmse': '68.14', 'mae': '51.83', 'r2': '0.25'}","{'rmse': '81.79', 'mae': '67.46', 'r2': '-0.01'}","{'rmse': '71.99', 'mae': '54.66', 'r2': '0.22'}","{'rmse': '74.35', 'mae': '59.64', 'r2': '0.05'}","{'rmse': '69.11', 'mae': '52.08', 'r2': '0.25'}","{'rmse': '78.32', 'mae': '65.18', 'r2': '0.03'}"
RandomForest,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",one-hot,"{'rmse': '21.07', 'mae': '10.71', 'r2': '0.93'}","{'rmse': '26.91', 'mae': '12.62', 'r2': '0.89'}","{'rmse': '20.03', 'mae': '9.62', 'r2': '0.94'}","{'rmse': '26.87', 'mae': '14.22', 'r2': '0.89'}","{'rmse': '17.09', 'mae': '8.88', 'r2': '0.96'}","{'rmse': '33.75', 'mae': '15.07', 'r2': '0.81'}","{'rmse': '19.40', 'mae': '9.74', 'r2': '0.94'}","{'rmse': '29.18', 'mae': '13.97', 'r2': '0.86'}"
RandomForest,"{'n_estimators': 100, 'random_state': 42, 'n_jobs': 2}",label,"{'rmse': '21.11', 'mae': '10.66', 'r2': '0.93'}","{'rmse': '128.87', 'mae': '100.99', 'r2': '-1.53'}","{'rmse': '20.21', 'mae': '9.85', 'r2': '0.93'}","{'rmse': '143.41', 'mae': '119.01', 'r2': '-2.11'}","{'rmse': '17.41', 'mae': '9.12', 'r2': '0.95'}","{'rmse': '130.76', 'mae': '106.76', 'r2': '-1.92'}","{'rmse': '19.58', 'mae': '9.88', 'r2': '0.94'}","{'rmse': '134.35', 'mae': '108.92', 'r2': '-1.86'}"
